factor,direction,split,style_source,eval_granularity,model,k_clusters,baseline_r2,augmented_r2,delta_r2,baseline_r2_oos_train_mean,augmented_r2_oos_train_mean,delta_r2_oos_train_mean,baseline_rmse,augmented_rmse,delta_rmse,baseline_mae,augmented_mae,delta_mae,n_train_eval_rows,n_val_eval_rows,style_map_val_rmse,style_map_val_mae,win_r2,win_r2_oos_train_mean,win_rmse,win_mae,win_r2_rmse,win_all
all_or_nothing,false_to_true,all_or_nothing/false_to_true,oracle,config_treatment,linear,16,-0.5995427493580765,-0.1530814430537364,0.4464613063043401,-0.5925941545680677,-0.1480723267229136,0.44452182784515415,0.10753927222804384,0.09130596666954,-0.016233305558503844,0.08831552229148579,0.07665904368924668,-0.011656478602239104,100,18,0.0,0.0,True,True,True,True,True,True
all_or_nothing,false_to_true,all_or_nothing/false_to_true,oracle,config_treatment,ridge,16,-0.5360052253140479,-0.162203242788868,0.37380198252517993,-0.5293326447216713,-0.15715450032730205,0.37217814439436925,0.10538177609546985,0.09166640697229117,-0.01371536912317868,0.08666984835918301,0.07637616658176129,-0.010293681777421723,100,18,0.0,0.0,True,True,True,True,True,True
all_or_nothing,false_to_true,all_or_nothing/false_to_true,oracle,game,linear,16,-0.20666890396605986,0.0512194916345271,0.25788839560058696,-0.19626008053238975,0.05940374893694422,0.25566382946933397,0.16029336178951326,0.14213608656205468,-0.01815727522745858,0.13290237368816862,0.11143749023372652,-0.0214648834544421,104,102,0.0,0.0,True,True,True,True,True,True
all_or_nothing,false_to_true,all_or_nothing/false_to_true,oracle,game,ridge,16,-0.190152987373154,0.07875344589084665,0.26890643326400065,-0.17988663157007911,0.08670019307980781,0.2665868246498869,0.15919259870542438,0.1400584820030566,-0.01913411670236778,0.13213983295155723,0.10932102959024866,-0.02281880336130858,104,102,0.0,0.0,True,True,True,True,True,True
all_or_nothing,false_to_true,all_or_nothing/false_to_true,synthetic,config_treatment,linear,4,-0.5995427493580765,-0.4573699740780657,0.14217277528001082,-0.5925941545680677,-0.451038993919481,0.14155516064858675,0.10753927222804384,0.10264884713312232,-0.004890425094921519,0.08831552229148579,0.08494682333678795,-0.003368698954697838,100,18,0.24731852529315163,0.1756062818031912,True,True,True,True,True,True
all_or_nothing,false_to_true,all_or_nothing/false_to_true,synthetic,config_treatment,ridge,4,-0.5360052253140479,-0.4453648566948696,0.09064036861917835,-0.5293326447216713,-0.43908602812531594,0.09024661659635536,0.10538177609546985,0.10222518677714515,-0.0031565893183247012,0.08666984835918301,0.08317931960575595,-0.0034905287534270635,100,18,0.24731852529315163,0.1756062818031912,True,True,True,True,True,True
all_or_nothing,false_to_true,all_or_nothing/false_to_true,synthetic,game,linear,4,-0.20666890396605986,-0.1568624013465172,0.04980650261954267,-0.19626008053238975,-0.1468832128275379,0.049376867704851835,0.16029336178951326,0.15695036501572718,-0.0033429967737860777,0.13290237368816862,0.1307735836556536,-0.00212879003251501,104,102,0.24731852529315163,0.1756062818031912,True,True,True,True,True,True
all_or_nothing,false_to_true,all_or_nothing/false_to_true,synthetic,game,ridge,4,-0.190152987373154,-0.15401814734349673,0.03613484002965728,-0.17988663157007911,-0.1440634935892906,0.03582313798078851,0.15919259870542438,0.15675730773234248,-0.0024352909730818995,0.13213983295155723,0.13024281294381299,-0.001897020007744249,104,102,0.24731852529315163,0.1756062818031912,True,True,True,True,True,True
all_or_nothing,true_to_false,all_or_nothing/true_to_false,oracle,config_treatment,linear,10,-0.3544220736123702,0.1339194895481185,0.4883415631604887,-0.2830279157173925,0.17957223688414636,0.46260015260153886,0.08876347669319014,0.07098007039037639,-0.017783406302813748,0.06536423986500214,0.05363907519819641,-0.011725164666805732,106,22,0.0,0.0,True,True,True,True,True,True
all_or_nothing,true_to_false,all_or_nothing/true_to_false,oracle,config_treatment,ridge,10,-0.2975579698439912,0.11138495646691315,0.40894292631090434,-0.22916122677419293,0.15822554180723336,0.3873867685814263,0.0868801731159312,0.07189755528959606,-0.014982617826335143,0.06364416173686048,0.05408585712626137,-0.00955830461059911,106,22,0.0,0.0,True,True,True,True,True,True
