dataset_name,baseline_score,augmented_score,delta_score,model,predicted_helpfulness,predictor_order_index
Choices13k,0.4,-216.81025781040776,-217.21025781040777,gpt-5-mini,16,0
OSPsychBig5,6.43371655517177,-32.72006866629802,-39.15378522146979,gpt-5-mini,15,1
OSPsychRWAS,21.427114020005472,64.76151105635653,43.33439703635105,gpt-5-mini,14,2
OpinionQA,50.817968273487395,53.16841732833144,2.3504490548440486,gpt-5-mini,13,3
TISP,17.366369267850605,7.1536827143229775,-10.212686553527629,gpt-5-mini,12,4
ISSP,44.73102504883472,26.153276810044492,-18.577748238790225,gpt-5-mini,11,5
GlobalOpinionQA,-127.5901334937481,-79.1670580078443,48.423075485903794,gpt-5-mini,10,6
ConspiracyCorr,-102.9032258064516,-92.15725806451616,10.745967741935443,gpt-5-mini,9,7
DICES,68.36757804439107,71.58265006099687,3.215072016605802,gpt-5-mini,8,8
MoralMachine,-108.7088646473321,-62.91071236838369,45.798152278948415,gpt-5-mini,7,9
OSPsychMACH,-121.31586726775558,-136.85065774887306,-15.534790481117485,gpt-5-mini,6,10
Jester,-38.02192956941198,-47.10327021675829,-9.081340647346307,gpt-5-mini,5,11
WisdomOfCrowds,38.50088962018067,43.572476322940666,5.071586702759994,gpt-5-mini,4,12
NumberGame,-35.62841013376348,-8.426683137971965,27.20172699579152,gpt-5-mini,3,13
ChaosNLI,-14.070463697391318,17.623680754407605,31.694144451798923,gpt-5-mini,2,14
OSPsychMGKT,-353.23664423171834,-324.58297210746815,28.653672124250193,gpt-5-mini,1,15
Choices13k,-4.092726157978177e-15,-3.697565129821518,-3.697565129821514,gpt-5-nano,16,0
OSPsychBig5,16.304677786568913,32.027503058130876,15.722825271561963,gpt-5-nano,15,1
OSPsychRWAS,22.85105024941876,42.41270024921373,19.56164999979497,gpt-5-nano,14,2
OpinionQA,-3.2914643953550007,15.700738530500029,18.99220292585503,gpt-5-nano,13,3
TISP,27.05952035248845,32.96884469743484,5.909324344946391,gpt-5-nano,12,4
ISSP,31.099577006864564,27.248236138295685,-3.8513408685688795,gpt-5-nano,11,5
GlobalOpinionQA,12.891217148322001,42.094264596537215,29.203047448215216,gpt-5-nano,10,6
ConspiracyCorr,-177.4193548387097,-93.20060483870968,84.21875000000001,gpt-5-nano,9,7
DICES,88.46612529137587,17.392740745303634,-71.07338454607225,gpt-5-nano,8,8
MoralMachine,-9.868649107779169e-17,5.335569240705848,5.335569240705848,gpt-5-nano,7,9
OSPsychMACH,-42.90887591456656,-104.49322389328218,-61.58434797871562,gpt-5-nano,6,10
Jester,3.8209482001358945,25.700054084158257,21.879105884022362,gpt-5-nano,5,11
WisdomOfCrowds,-7.083996273292462,1.366046100798077,8.45004237409054,gpt-5-nano,4,12
NumberGame,-1.879385536085465e-14,10.673497866142313,10.673497866142332,gpt-5-nano,3,13
ChaosNLI,-14.456993918331877,-9.618580674867646,4.838413243464231,gpt-5-nano,2,14
OSPsychMGKT,58.232976344692524,51.423186925685584,-6.80978941900694,gpt-5-nano,1,15
